Provider,service_name,application_service,Cost,Environment,Team,Date,Account_ID
AWS,EC2,checkout-api,5.1907,prod,payments,2026-07-12T16:00:00Z,111122223333
AWS,EC2,checkout-api,4.6155,prod,payments,2026-07-12T17:00:00Z,111122223333
AWS,EC2,checkout-api,4.4639,prod,payments,2026-07-12T18:00:00Z,111122223333
AWS,EC2,checkout-api,3.7636,prod,payments,2026-07-12T19:00:00Z,111122223333
AWS,EC2,checkout-api,3.4033,prod,payments,2026-07-12T20:00:00Z,111122223333
AWS,EC2,checkout-api,3.6594,prod,payments,2026-07-12T21:00:00Z,111122223333
AWS,EC2,checkout-api,3.4749,prod,payments,2026-07-12T22:00:00Z,111122223333
AWS,EC2,checkout-api,3.7308,prod,payments,2026-07-12T23:00:00Z,111122223333
AWS,EC2,checkout-api,5.5801,prod,payments,2026-07-13T00:00:00Z,111122223333
AWS,EC2,checkout-api,5.1712,prod,payments,2026-07-13T01:00:00Z,111122223333
AWS,EC2,checkout-api,4.9399,prod,payments,2026-07-13T02:00:00Z,111122223333
AWS,EC2,checkout-api,5.5973,prod,payments,2026-07-13T03:00:00Z,111122223333
AWS,EC2,checkout-api,5.4556,prod,payments,2026-07-13T04:00:00Z,111122223333
AWS,EC2,checkout-api,4.9993,prod,payments,2026-07-13T05:00:00Z,111122223333
AWS,EC2,checkout-api,4.8851,prod,payments,2026-07-13T06:00:00Z,111122223333
AWS,EC2,checkout-api,5.2008,prod,payments,2026-07-13T07:00:00Z,111122223333
AWS,EC2,checkout-api,6.1794,prod,payments,2026-07-13T08:00:00Z,111122223333
AWS,EC2,checkout-api,6.8099,prod,payments,2026-07-13T09:00:00Z,111122223333
AWS,EC2,checkout-api,6.5470,prod,payments,2026-07-13T10:00:00Z,111122223333
AWS,EC2,checkout-api,7.6879,prod,payments,2026-07-13T11:00:00Z,111122223333
AWS,EC2,checkout-api,8.5668,prod,payments,2026-07-13T12:00:00Z,111122223333
AWS,EC2,checkout-api,7.3957,prod,payments,2026-07-13T13:00:00Z,111122223333
AWS,EC2,checkout-api,8.1735,prod,payments,2026-07-13T14:00:00Z,111122223333
AWS,EC2,checkout-api,7.0086,prod,payments,2026-07-13T15:00:00Z,111122223333
AWS,EC2,checkout-api,6.9850,prod,payments,2026-07-13T16:00:00Z,111122223333
AWS,EC2,checkout-api,6.1272,prod,payments,2026-07-13T17:00:00Z,111122223333
AWS,EC2,checkout-api,5.6272,prod,payments,2026-07-13T18:00:00Z,111122223333
AWS,EC2,checkout-api,5.5388,prod,payments,2026-07-13T19:00:00Z,111122223333
AWS,EC2,checkout-api,5.2734,prod,payments,2026-07-13T20:00:00Z,111122223333
AWS,EC2,checkout-api,4.7459,prod,payments,2026-07-13T21:00:00Z,111122223333
AWS,EC2,checkout-api,4.8988,prod,payments,2026-07-13T22:00:00Z,111122223333
AWS,EC2,checkout-api,5.6008,prod,payments,2026-07-13T23:00:00Z,111122223333
AWS,EC2,checkout-api,5.2287,prod,payments,2026-07-14T00:00:00Z,111122223333
AWS,EC2,checkout-api,5.5656,prod,payments,2026-07-14T01:00:00Z,111122223333
AWS,EC2,checkout-api,5.0523,prod,payments,2026-07-14T02:00:00Z,111122223333
AWS,EC2,checkout-api,5.1891,prod,payments,2026-07-14T03:00:00Z,111122223333
AWS,EC2,checkout-api,4.7567,prod,payments,2026-07-14T04:00:00Z,111122223333
AWS,EC2,checkout-api,4.7713,prod,payments,2026-07-14T05:00:00Z,111122223333
AWS,EC2,checkout-api,5.3009,prod,payments,2026-07-14T06:00:00Z,111122223333
AWS,EC2,checkout-api,5.3430,prod,payments,2026-07-14T07:00:00Z,111122223333
AWS,EC2,checkout-api,5.6987,prod,payments,2026-07-14T08:00:00Z,111122223333
AWS,EC2,checkout-api,6.9115,prod,payments,2026-07-14T09:00:00Z,111122223333
AWS,EC2,checkout-api,6.9008,prod,payments,2026-07-14T10:00:00Z,111122223333
AWS,EC2,checkout-api,7.4888,prod,payments,2026-07-14T11:00:00Z,111122223333
AWS,EC2,checkout-api,8.4756,prod,payments,2026-07-14T12:00:00Z,111122223333
AWS,EC2,checkout-api,8.7776,prod,payments,2026-07-14T13:00:00Z,111122223333
AWS,EC2,checkout-api,8.1025,prod,payments,2026-07-14T14:00:00Z,111122223333
AWS,EC2,checkout-api,7.3338,prod,payments,2026-07-14T15:00:00Z,111122223333
AWS,EC2,checkout-api,7.0659,prod,payments,2026-07-14T16:00:00Z,111122223333
AWS,EC2,checkout-api,6.4888,prod,payments,2026-07-14T17:00:00Z,111122223333
AWS,EC2,checkout-api,5.5375,prod,payments,2026-07-14T18:00:00Z,111122223333
AWS,EC2,checkout-api,5.4521,prod,payments,2026-07-14T19:00:00Z,111122223333
AWS,EC2,checkout-api,5.4742,prod,payments,2026-07-14T20:00:00Z,111122223333
AWS,EC2,checkout-api,5.4872,prod,payments,2026-07-14T21:00:00Z,111122223333
AWS,EC2,checkout-api,5.7353,prod,payments,2026-07-14T22:00:00Z,111122223333
AWS,EC2,checkout-api,4.8478,prod,payments,2026-07-14T23:00:00Z,111122223333
AWS,EC2,checkout-api,5.7521,prod,payments,2026-07-15T00:00:00Z,111122223333
AWS,EC2,checkout-api,5.2104,prod,payments,2026-07-15T01:00:00Z,111122223333
AWS,EC2,checkout-api,5.7505,prod,payments,2026-07-15T02:00:00Z,111122223333
AWS,EC2,checkout-api,4.9000,prod,payments,2026-07-15T03:00:00Z,111122223333
AWS,EC2,checkout-api,4.8721,prod,payments,2026-07-15T04:00:00Z,111122223333
AWS,EC2,checkout-api,4.7716,prod,payments,2026-07-15T05:00:00Z,111122223333
AWS,EC2,checkout-api,5.1357,prod,payments,2026-07-15T06:00:00Z,111122223333
AWS,EC2,checkout-api,5.2639,prod,payments,2026-07-15T07:00:00Z,111122223333
AWS,EC2,checkout-api,6.1878,prod,payments,2026-07-15T08:00:00Z,111122223333
AWS,EC2,checkout-api,7.3100,prod,payments,2026-07-15T09:00:00Z,111122223333
AWS,EC2,checkout-api,6.7607,prod,payments,2026-07-15T10:00:00Z,111122223333
AWS,EC2,checkout-api,8.2019,prod,payments,2026-07-15T11:00:00Z,111122223333
AWS,EC2,checkout-api,8.8629,prod,payments,2026-07-15T12:00:00Z,111122223333
AWS,EC2,checkout-api,7.8889,prod,payments,2026-07-15T13:00:00Z,111122223333
AWS,EC2,checkout-api,8.4906,prod,payments,2026-07-15T14:00:00Z,111122223333
AWS,EC2,checkout-api,7.3534,prod,payments,2026-07-15T15:00:00Z,111122223333
AWS,EC2,checkout-api,7.4730,prod,payments,2026-07-15T16:00:00Z,111122223333
AWS,EC2,checkout-api,7.2616,prod,payments,2026-07-15T17:00:00Z,111122223333
AWS,EC2,checkout-api,5.6371,prod,payments,2026-07-15T18:00:00Z,111122223333
AWS,EC2,checkout-api,5.8526,prod,payments,2026-07-15T19:00:00Z,111122223333
AWS,EC2,checkout-api,5.3917,prod,payments,2026-07-15T20:00:00Z,111122223333
AWS,EC2,checkout-api,5.7680,prod,payments,2026-07-15T21:00:00Z,111122223333
AWS,EC2,checkout-api,5.2545,prod,payments,2026-07-15T22:00:00Z,111122223333
AWS,EC2,checkout-api,5.4083,prod,payments,2026-07-15T23:00:00Z,111122223333
AWS,EC2,checkout-api,5.1512,prod,payments,2026-07-16T00:00:00Z,111122223333
AWS,EC2,checkout-api,5.4273,prod,payments,2026-07-16T01:00:00Z,111122223333
AWS,EC2,checkout-api,5.1363,prod,payments,2026-07-16T02:00:00Z,111122223333
AWS,EC2,checkout-api,5.5691,prod,payments,2026-07-16T03:00:00Z,111122223333
AWS,EC2,checkout-api,5.1067,prod,payments,2026-07-16T04:00:00Z,111122223333
AWS,EC2,checkout-api,5.2713,prod,payments,2026-07-16T05:00:00Z,111122223333
AWS,EC2,checkout-api,5.6902,prod,payments,2026-07-16T06:00:00Z,111122223333
AWS,EC2,checkout-api,5.5325,prod,payments,2026-07-16T07:00:00Z,111122223333
AWS,EC2,checkout-api,6.7027,prod,payments,2026-07-16T08:00:00Z,111122223333
AWS,EC2,checkout-api,7.3548,prod,payments,2026-07-16T09:00:00Z,111122223333
AWS,EC2,checkout-api,7.3413,prod,payments,2026-07-16T10:00:00Z,111122223333
AWS,EC2,checkout-api,7.9903,prod,payments,2026-07-16T11:00:00Z,111122223333
AWS,EC2,checkout-api,7.8825,prod,payments,2026-07-16T12:00:00Z,111122223333
AWS,EC2,checkout-api,7.6559,prod,payments,2026-07-16T13:00:00Z,111122223333
AWS,EC2,checkout-api,8.5413,prod,payments,2026-07-16T14:00:00Z,111122223333
AWS,EC2,checkout-api,7.6230,prod,payments,2026-07-16T15:00:00Z,111122223333
AWS,EC2,checkout-api,7.9298,prod,payments,2026-07-16T16:00:00Z,111122223333
AWS,EC2,checkout-api,7.4323,prod,payments,2026-07-16T17:00:00Z,111122223333
AWS,EC2,checkout-api,5.6480,prod,payments,2026-07-16T18:00:00Z,111122223333
AWS,EC2,checkout-api,5.3400,prod,payments,2026-07-16T19:00:00Z,111122223333
AWS,EC2,checkout-api,5.7119,prod,payments,2026-07-16T20:00:00Z,111122223333
AWS,EC2,checkout-api,4.9693,prod,payments,2026-07-16T21:00:00Z,111122223333
AWS,EC2,checkout-api,5.8738,prod,payments,2026-07-16T22:00:00Z,111122223333
AWS,EC2,checkout-api,5.0212,prod,payments,2026-07-16T23:00:00Z,111122223333
AWS,EC2,checkout-api,5.5912,prod,payments,2026-07-17T00:00:00Z,111122223333
AWS,EC2,checkout-api,5.5807,prod,payments,2026-07-17T01:00:00Z,111122223333
AWS,EC2,checkout-api,5.0693,prod,payments,2026-07-17T02:00:00Z,111122223333
AWS,EC2,checkout-api,5.2729,prod,payments,2026-07-17T03:00:00Z,111122223333
AWS,EC2,checkout-api,5.0052,prod,payments,2026-07-17T04:00:00Z,111122223333
AWS,EC2,checkout-api,5.5324,prod,payments,2026-07-17T05:00:00Z,111122223333
AWS,EC2,checkout-api,5.1903,prod,payments,2026-07-17T06:00:00Z,111122223333
AWS,EC2,checkout-api,5.0519,prod,payments,2026-07-17T07:00:00Z,111122223333
AWS,EC2,checkout-api,6.3062,prod,payments,2026-07-17T08:00:00Z,111122223333
AWS,EC2,checkout-api,7.4077,prod,payments,2026-07-17T09:00:00Z,111122223333
AWS,EC2,checkout-api,7.2404,prod,payments,2026-07-17T10:00:00Z,111122223333
AWS,EC2,checkout-api,8.4473,prod,payments,2026-07-17T11:00:00Z,111122223333
AWS,EC2,checkout-api,8.1048,prod,payments,2026-07-17T12:00:00Z,111122223333
AWS,EC2,checkout-api,7.7668,prod,payments,2026-07-17T13:00:00Z,111122223333
AWS,EC2,checkout-api,8.8846,prod,payments,2026-07-17T14:00:00Z,111122223333
AWS,EC2,checkout-api,7.7726,prod,payments,2026-07-17T15:00:00Z,111122223333
AWS,EC2,checkout-api,6.8175,prod,payments,2026-07-17T16:00:00Z,111122223333
AWS,EC2,checkout-api,7.2580,prod,payments,2026-07-17T17:00:00Z,111122223333
AWS,EC2,checkout-api,6.3629,prod,payments,2026-07-17T18:00:00Z,111122223333
AWS,EC2,checkout-api,5.8146,prod,payments,2026-07-17T19:00:00Z,111122223333
AWS,EC2,checkout-api,5.8495,prod,payments,2026-07-17T20:00:00Z,111122223333
AWS,EC2,checkout-api,5.0932,prod,payments,2026-07-17T21:00:00Z,111122223333
AWS,EC2,checkout-api,5.5204,prod,payments,2026-07-17T22:00:00Z,111122223333
AWS,EC2,checkout-api,5.3964,prod,payments,2026-07-17T23:00:00Z,111122223333
AWS,EC2,checkout-api,3.5464,prod,payments,2026-07-18T00:00:00Z,111122223333
AWS,EC2,checkout-api,3.4430,prod,payments,2026-07-18T01:00:00Z,111122223333
AWS,EC2,checkout-api,3.9412,prod,payments,2026-07-18T02:00:00Z,111122223333
AWS,EC2,checkout-api,3.9434,prod,payments,2026-07-18T03:00:00Z,111122223333
AWS,EC2,checkout-api,3.6277,prod,payments,2026-07-18T04:00:00Z,111122223333
AWS,EC2,checkout-api,3.6156,prod,payments,2026-07-18T05:00:00Z,111122223333
AWS,EC2,checkout-api,3.6619,prod,payments,2026-07-18T06:00:00Z,111122223333
AWS,EC2,checkout-api,3.4291,prod,payments,2026-07-18T07:00:00Z,111122223333
